ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
32,,,,,,队伍四文官楼层
33,,,,,,队伍人口最大上限
34,,,,,,队伍人口最大上限上限仅适用于文官募兵下开启动态人口机制时，且只适用分角色的队伍
35,,,,,,200
36,,,,,,400
37,,,,,,单人队伍不分配角色
38,,,,,,纯AI队伍不分配角色
39,,,,,,保留武将开局资源
40,,,,,,已过期，开启匿名模式
41,,,,,,已过期，开启后，游戏内玩家昵称将会以玩家1的形式显示，观战时还是会显示真实id
42,,,,,,已过期，操控队友单位
43,,,,,,已过期，持续选择队友单位一秒钟后，将获取队友单位(村民除外)的控制权，队友也将失去控制权，此为实验性质功能
44,,,,,,游牧开局
45,,,,,,弑君模式
46,,,,,,国王正在被攻击
47,,,,,,[%1ATTACK_PLAYER%]正在攻击[%2PLAYER%]的国王
48,,,,,,[%1ATTACK_PLAYER%]击杀了[%2PLAYER%]的国王
49,,,,,,[%1ATTACK_PLAYER%]击杀了一位国王
50,,,,,,特殊设置
51,,,,,,英格兰防守建筑可切换控制权
52,,,,,,启用控制权转换
53,,,,,,军事建筑以及侦察兵、教士、攻城武器、海军单位可以被转换，需要点击右上角的转换按钮，目前只对文官募兵开放
54,,,,,,文官募兵设置
